mode: atomic
safepaw/gateway/config/config.go:58.30,62.16 3 8
safepaw/gateway/middleware/revocation.go:155.16,157.3 1 0
safepaw/gateway/middleware/revocation.go:159.2,170.27 5 0
safepaw/gateway/middleware/revocation.go:170.27,172.3 1 0
safepaw/gateway/middleware/revocation.go:173.2,173.18 1 0
safepaw/gateway/middleware/revocation.go:177.39,181.2 3 2
safepaw/gateway/middleware/revocation.go:183.37,188.37 4 0
safepaw/gateway/middleware/revocation.go:188.37,189.33 1 0
safepaw/gateway/middleware/revocation.go:189.33,192.4 2 0
safepaw/gateway/middleware/revocation.go:197.34,199.21 2 7
safepaw/gateway/middleware/revocation.go:199.21,201.3 1 0
safepaw/gateway/middleware/sanitize.go:72.44,74.17 2 8
safepaw/gateway/middleware/sanitize.go:74.17,76.3 1 1
safepaw/gateway/middleware/sanitize.go:77.2,77.32 1 7
safepaw/gateway/middleware/sanitize.go:77.32,79.3 1 4
safepaw/gateway/middleware/sanitize.go:80.2,81.15 2 3
safepaw/gateway/middleware/sanitize.go:94.48,96.14 2 13
safepaw/gateway/middleware/sanitize.go:96.14,98.3 1 2
safepaw/gateway/middleware/sanitize.go:101.2,101.91 1 11
safepaw/gateway/middleware/sanitize.go:101.91,104.3 2 7
safepaw/gateway/middleware/sanitize.go:106.2,106.37 1 4
safepaw/gateway/middleware/sanitize.go:106.37,109.3 2 1
safepaw/gateway/middleware/sanitize.go:111.2,111.17 1 3
safepaw/gateway/middleware/sanitize.go:132.65,133.17 1 2
safepaw/gateway/middleware/sanitize.go:133.17,135.3 1 1
safepaw/gateway/middleware/sanitize.go:137.2,140.25 3 1
safepaw/gateway/middleware/sanitize.go:140.25,141.31 1 5
safepaw/gateway/middleware/sanitize.go:141.31,143.9 2 0
safepaw/gateway/middleware/sanitize.go:147.3,148.33 2 5
safepaw/gateway/middleware/sanitize.go:148.33,150.4 1 0
safepaw/gateway/middleware/sanitize.go:151.3,151.14 1 5
safepaw/gateway/middleware/sanitize.go:151.14,152.12 1 0
safepaw/gateway/middleware/sanitize.go:156.3,162.42 2 5
safepaw/gateway/middleware/sanitize.go:162.42,164.12 2 3
safepaw/gateway/middleware/sanitize.go:168.3,169.35 2 2
safepaw/gateway/middleware/sanitize.go:169.35,171.4 1 0
safepaw/gateway/middleware/sanitize.go:173.3,174.10 2 2
safepaw/gateway/middleware/sanitize.go:177.2,177.14 1 1
safepaw/gateway/middleware/sanitize.go:190.39,199.2 3 12
safepaw/gateway/middleware/sanitize.go:218.42,225.19 5 12
safepaw/gateway/middleware/sanitize.go:225.19,227.3 1 9
safepaw/gateway/middleware/sanitize.go:229.2,229.10 1 12
safepaw/gateway/middleware/sanitize.go:246.46,247.11 1 51
safepaw/gateway/middleware/sanitize.go:248.16,249.16 1 7
safepaw/gateway/middleware/sanitize.go:250.15,251.15 1 4
safepaw/gateway/middleware/sanitize.go:252.18,253.18 1 9
safepaw/gateway/middleware/sanitize.go:254.16,255.16 1 31
safepaw/gateway/middleware/sanitize.go:256.10,257.19 1 0
safepaw/gateway/middleware/sanitize.go:330.80,334.44 3 56
safepaw/gateway/middleware/sanitize.go:334.44,335.37 1 728
safepaw/gateway/middleware/sanitize.go:335.37,336.24 1 45
safepaw/gateway/middleware/sanitize.go:336.24,338.5 1 38
safepaw/gateway/middleware/sanitize.go:339.4,339.41 1 45
safepaw/gateway/middleware/sanitize.go:343.2,343.24 1 56
safepaw/gateway/middleware/sanitize.go:343.24,346.3 1 38
safepaw/gateway/middleware/sanitize.go:348.2,348.27 1 56
safepaw/gateway/middleware/sanitize.go:360.41,362.14 2 3
safepaw/gateway/middleware/sanitize.go:362.14,364.3 1 1
safepaw/gateway/middleware/sanitize.go:365.2,365.38 1 2
safepaw/gateway/middleware/sanitize.go:365.38,368.3 2 1
safepaw/gateway/middleware/sanitize.go:369.2,369.11 1 1
safepaw/gateway/middleware/sanitize.go:373.46,375.13 2 0
safepaw/gateway/middleware/sanitize.go:375.13,377.3 1 0
safepaw/gateway/middleware/sanitize.go:378.2,379.22 2 0
safepaw/gateway/middleware/sanitize.go:379.22,380.72 1 0
safepaw/gateway/middleware/sanitize.go:380.72,382.4 1 0
safepaw/gateway/middleware/sanitize.go:384.2,384.21 1 0
safepaw/gateway/middleware/sanitize.go:384.21,386.3 1 0
safepaw/gateway/middleware/sanitize.go:387.2,387.21 1 0
safepaw/gateway/middleware/sanitize.go:387.21,389.3 1 0
safepaw/gateway/middleware/sanitize.go:390.2,390.22 1 0
safepaw/gateway/middleware/sanitize.go:400.41,403.22 3 26
safepaw/gateway/middleware/sanitize.go:403.22,404.42 1 18317
safepaw/gateway/middleware/sanitize.go:404.42,406.12 2 4
safepaw/gateway/middleware/sanitize.go:408.3,408.27 1 18313
safepaw/gateway/middleware/sanitize.go:408.27,409.12 1 10005
safepaw/gateway/middleware/sanitize.go:411.3,411.17 1 8308
safepaw/gateway/middleware/sanitize.go:413.2,413.19 1 26
safepaw/gateway/middleware/sanitize.go:418.50,419.22 1 2
safepaw/gateway/middleware/sanitize.go:419.22,421.3 1 1
safepaw/gateway/middleware/sanitize.go:422.2,422.38 1 1
safepaw/gateway/middleware/security.go:36.54,37.71 1 1
safepaw/gateway/middleware/security.go:37.71,66.3 10 1
safepaw/gateway/middleware/security.go:75.75,78.35 2 5
safepaw/gateway/middleware/security.go:78.35,80.3 1 3
safepaw/gateway/middleware/security.go:82.2,82.71 1 5
safepaw/gateway/middleware/security.go:82.71,86.24 2 5
safepaw/gateway/middleware/security.go:86.24,87.20 1 2
safepaw/gateway/middleware/security.go:87.20,91.5 2 1
safepaw/gateway/middleware/security.go:93.4,95.10 3 1
safepaw/gateway/middleware/security.go:99.3,99.39 1 3
safepaw/gateway/middleware/security.go:99.39,103.4 3 1
safepaw/gateway/middleware/security.go:105.3,105.23 1 2
safepaw/gateway/middleware/security.go:131.67,140.12 2 7
safepaw/gateway/middleware/security.go:140.12,141.27 1 7
safepaw/gateway/middleware/security.go:141.27,143.4 1 0
safepaw/gateway/middleware/security.go:146.2,146.11 1 7
safepaw/gateway/middleware/security.go:150.46,157.50 5 24
safepaw/gateway/middleware/security.go:157.50,162.3 3 8
safepaw/gateway/middleware/security.go:164.2,164.27 1 16
safepaw/gateway/middleware/security.go:164.27,167.3 2 6
safepaw/gateway/middleware/security.go:169.2,172.13 4 10
safepaw/gateway/middleware/security.go:175.34,180.34 4 0
safepaw/gateway/middleware/security.go:180.34,181.40 1 0
safepaw/gateway/middleware/security.go:181.40,183.4 1 0
safepaw/gateway/middleware/security.go:188.31,190.2 1 7
safepaw/gateway/middleware/security.go:193.65,195.2 1 1
safepaw/gateway/middleware/security.go:200.98,201.71 1 4
safepaw/gateway/middleware/security.go:201.71,203.20 2 11
safepaw/gateway/middleware/security.go:203.20,205.20 2 4
safepaw/gateway/middleware/security.go:205.20,207.5 1 3
safepaw/gateway/middleware/security.go:208.4,209.10 2 4
safepaw/gateway/middleware/security.go:211.3,211.23 1 7
safepaw/gateway/middleware/security.go:222.48,223.71 1 2
safepaw/gateway/middleware/security.go:223.71,228.3 4 2
safepaw/gateway/middleware/security.go:238.55,239.71 1 2
safepaw/gateway/middleware/security.go:239.71,243.3 3 2
safepaw/gateway/middleware/security.go:253.40,256.16 2 52
safepaw/gateway/middleware/security.go:256.16,258.3 1 0
safepaw/gateway/middleware/security.go:260.2,260.22 1 52
safepaw/gateway/middleware/security.go:260.22,261.48 1 1
safepaw/gateway/middleware/security.go:261.48,263.4 1 1
safepaw/gateway/middleware/security.go:266.2,266.13 1 51
safepaw/gateway/middleware/security.go:270.33,272.19 2 52
safepaw/gateway/middleware/security.go:272.19,274.3 1 0
safepaw/gateway/middleware/security.go:275.2,275.28 1 52
safepaw/gateway/middleware/security.go:282.40,283.39 1 24
safepaw/gateway/middleware/security.go:283.39,284.28 1 187
safepaw/gateway/middleware/security.go:284.28,286.4 1 5
safepaw/gateway/middleware/security.go:287.3,287.11 1 182
safepaw/gateway/middleware/slog.go:47.35,48.11 1 11
safepaw/gateway/middleware/slog.go:49.18,50.17 1 1
safepaw/gateway/middleware/slog.go:51.17,52.16 1 5
safepaw/gateway/middleware/slog.go:53.17,54.16 1 3
safepaw/gateway/middleware/slog.go:55.18,56.17 1 1
safepaw/gateway/middleware/slog.go:57.10,58.19 1 1
safepaw/gateway/middleware/slog.go:91.31,92.57 1 0
safepaw/gateway/middleware/slog.go:92.57,94.3 1 0
safepaw/gateway/middleware/slog.go:95.2,97.13 3 0
safepaw/gateway/middleware/slog.go:106.54,108.16 2 3
safepaw/gateway/middleware/slog.go:108.16,110.3 1 1
safepaw/gateway/middleware/slog.go:112.2,119.62 6 2
safepaw/gateway/middleware/slog.go:119.62,122.3 2 1
safepaw/gateway/middleware/slog.go:124.2,124.21 1 2
safepaw/gateway/middleware/slog.go:124.21,126.3 1 1
safepaw/gateway/middleware/slog.go:128.2,133.21 5 2
safepaw/gateway/middleware/slog.go:133.21,135.3 1 1
safepaw/gateway/middleware/slog.go:137.2,143.20 6 2
safepaw/gateway/middleware/slog.go:146.49,147.48 1 11
safepaw/gateway/middleware/slog.go:147.48,148.25 1 8
safepaw/gateway/middleware/slog.go:148.25,149.36 1 5
safepaw/gateway/middleware/slog.go:149.36,150.34 1 18
safepaw/gateway/middleware/slog.go:150.34,152.6 1 3
safepaw/gateway/middleware/slog.go:155.3,155.15 1 5
safepaw/gateway/middleware/slog.go:157.2,157.34 1 3
safepaw/gateway/middleware/slog.go:157.34,158.32 1 16
safepaw/gateway/middleware/slog.go:158.32,160.4 1 1
safepaw/gateway/middleware/slog.go:162.2,162.18 1 2
safepaw/gateway/middleware/slog.go:165.46,167.23 2 8
safepaw/gateway/middleware/slog.go:167.23,169.3 1 3
safepaw/gateway/middleware/slog.go:170.2,171.28 2 5
safepaw/gateway/middleware/slog.go:171.28,172.18 1 10009
safepaw/gateway/middleware/slog.go:172.18,176.4 3 10009
safepaw/gateway/middleware/slog.go:178.2,178.15 1 5
safepaw/gateway/middleware/slog.go:181.34,183.13 2 5
safepaw/gateway/middleware/slog.go:183.13,185.3 1 2
safepaw/gateway/middleware/slog.go:186.2,186.12 1 3
safepaw/gateway/middleware/slog.go:209.45,211.2 1 11
safepaw/gateway/middleware/slog.go:217.26,218.23 1 0
safepaw/gateway/middleware/slog.go:218.23,225.3 2 0
safepaw/gateway/middleware/slog.go:226.2,226.22 1 0
safepaw/gateway/middleware/slog.go:230.58,237.2 1 1
safepaw/gateway/middleware/slog.go:239.72,240.24 1 8
safepaw/gateway/middleware/slog.go:240.24,242.3 1 2
safepaw/gateway/middleware/slog.go:243.2,245.16 3 6
safepaw/gateway/middleware/slog.go:245.16,247.3 1 4
safepaw/gateway/middleware/slog.go:247.8,249.3 1 2
safepaw/gateway/middleware/slog.go:252.72,257.23 5 4
safepaw/gateway/middleware/slog.go:257.23,259.3 1 3
safepaw/gateway/middleware/slog.go:260.2,261.27 2 4
safepaw/gateway/middleware/slog.go:261.27,263.3 1 10
safepaw/gateway/middleware/slog.go:264.2,266.34 3 4
safepaw/gateway/middleware/slog.go:269.72,271.23 2 2
safepaw/gateway/middleware/slog.go:271.23,273.3 1 1
safepaw/gateway/middleware/slog.go:274.2,275.27 2 2
safepaw/gateway/middleware/slog.go:275.27,277.3 1 1
safepaw/gateway/middleware/slog.go:278.2,279.40 2 2
safepaw/gateway/middleware/slog.go:283.52,283.93 1 3
safepaw/gateway/middleware/slog.go:286.52,286.93 1 2
safepaw/gateway/middleware/slog.go:289.53,289.95 1 0
safepaw/gateway/middleware/slog.go:292.53,292.95 1 1
safepaw/gateway/middleware/slog.go:295.71,300.2 4 1
safepaw/gateway/middleware/slog.go:303.78,308.2 4 1
